sci_name,presence,origin,seasonal,lon,lat,redlistCategory
Vieja hartwegi,1,1,1,-92.28081,15.74389,EN
Vieja hartwegi,1,1,1,-92.28056,15.74389,EN
Vieja hartwegi,1,1,1,-93.58106,17.23875,EN
Vieja hartwegi,1,1,1,-93.57142,17.22511,EN
Vieja hartwegi,1,1,1,-93.44106,17.17433,EN
Vieja hartwegi,1,1,1,-93.44156,17.17506,EN
Vieja hartwegi,1,1,1,-93.41639,17.16972,EN
Vieja hartwegi,1,1,1,-93.31283,17.13711,EN
Vieja hartwegi,1,1,1,-93.26889,16.21278,EN
Vieja hartwegi,1,1,1,-93.07925,16.15878,EN
Allotoca diazi,1,1,1,-101.5651,19.5575,CR
Allotoca diazi,1,1,1,-101.5214,19.5205,CR
Allotoca diazi,1,1,1,-101.5215,19.573,CR
Allotoca diazi,4,1,1,-101.7064,19.5861,CR
Allotoca diazi,4,1,1,-101.5726,19.6367,CR
Allotoca diazi,4,1,1,-101.6508,19.5717,CR
Allotoca diazi,4,1,1,-101.616,19.5623,CR
Chirostoma promelas,1,1,1,-103.21722,20.28972,EN
Chirostoma promelas,1,1,1,-103.18278,20.28639,EN
Chirostoma promelas,1,1,1,-103.1875,20.27917,EN
Chirostoma promelas,1,1,1,-102.72111,20.27028,EN
Chirostoma attenuatum,1,1,1,-101.61917,19.54556,EN
Chirostoma attenuatum,1,1,1,-101.6475,19.58556,EN
Chirostoma attenuatum,1,1,1,-101.65389,19.54056,EN
Zoogoneticus tequila,1,1,1,-103.8436,20.6816,EN
Herichthys steindachneri,1,1,1,-99.35417,21.98083,EN
Herichthys steindachneri,1,1,1,-99.41889,21.92083,EN
Herichthys steindachneri,1,1,1,-99.418888,21.920833,EN
Herichthys steindachneri,1,1,1,-99.389722,21.956388,EN
Herichthys steindachneri,1,1,1,-99.38972,21.95639,EN
Herichthys steindachneri,1,1,1,-99.396666,21.938333,EN
Herichthys steindachneri,1,1,1,-99.39528,21.94,EN
Herichthys steindachneri,1,1,1,-99.256722,21.98725,EN
Herichthys steindachneri,1,1,1,-99.391666,21.931388,EN
Herichthys steindachneri,1,1,1,-99.255083,21.986,EN
Herichthys steindachneri,1,1,1,-99.395277,21.94,EN
Herichthys steindachneri,1,1,1,-99.3,22.0,EN
Herichthys steindachneri,1,1,1,-99.5,21.96667,EN
Pseudodon cumingii,1,1,1,100.2648056,6.43055556,VU
Pseudodon cumingii,1,1,1,100.26625,6.51702778,VU
Pseudodon cumingii,1,1,1,100.5486944,6.18625,VU
Pseudodon cumingii,1,1,1,100.07152,20.2682,VU
Poblana alchichica,1,1,1,-97.4,19.34694,CR
Poblana alchichica,1,1,1,-97.37833,19.40722,CR
Poblana ferdebueni,1,1,1,-98.02889,19.82889,CR
Poblana ferdebueni,1,1,1,-98.03361,19.82778,CR
Poblana letholepis,1,1,1,-97.37833,19.40722,CR
Poblana letholepis,1,1,1,-97.4,19.37833,CR
Poblana squamata,1,1,1,-97.49111,19.33556,CR
Pareuchiloglanis myzostoma,1,1,1,98.68324199,28.72001788,VU
Pareuchiloglanis myzostoma,1,1,1,98.86554638,28.38749397,VU
Pareuchiloglanis myzostoma,1,1,1,98.91086498,27.99048047,VU
Pareuchiloglanis myzostoma,1,1,1,99.00836864,27.65379913,VU
Pareuchiloglanis myzostoma,1,1,1,99.09763256,27.2671697,VU
Pareuchiloglanis myzostoma,1,1,1,99.10043766,26.53791023,VU
Pareuchiloglanis myzostoma,1,1,1,99.12103702,26.04891227,VU
Pareuchiloglanis myzostoma,1,1,1,99.12241031,26.18701536,VU
Pareuchiloglanis myzostoma,1,1,1,99.13065006,26.35962519,VU
Pareuchiloglanis myzostoma,1,1,1,99.13614322,25.90566927,VU
Pareuchiloglanis myzostoma,1,1,1,99.14163639,26.7269583,VU
Pareuchiloglanis myzostoma,1,1,1,99.15219152,27.16871061,VU
Pareuchiloglanis myzostoma,1,1,1,99.18887092,26.88336661,VU
Pareuchiloglanis myzostoma,1,1,1,99.20480777,25.80062249,VU
Pareuchiloglanis myzostoma,1,1,1,99.25149967,25.69795747,VU
Pareuchiloglanis myzostoma,1,1,1,99.27299038,25.64005722,VU
Pareuchiloglanis myzostoma,1,1,1,99.28603665,25.61684128,VU
Pareuchiloglanis myzostoma,1,1,1,99.30526272,25.60414799,VU
Pareuchiloglanis myzostoma,1,1,1,99.32417675,25.60046811,VU
Pareuchiloglanis myzostoma,1,1,1,99.32846828,25.60758913,VU
Pareuchiloglanis myzostoma,1,1,1,99.3307396,25.97237127,VU
Pareuchiloglanis myzostoma,1,1,1,99.33623276,25.94150232,VU
Pareuchiloglanis myzostoma,1,1,1,99.33722301,25.6102207,VU
Pareuchiloglanis myzostoma,1,1,1,99.34069596,25.99119735,VU
Pareuchiloglanis myzostoma,1,1,1,99.34459549,25.92122347,VU
Pareuchiloglanis myzostoma,1,1,1,99.34611813,25.57875736,VU
Pareuchiloglanis myzostoma,1,1,1,99.34769436,25.61347138,VU
Pareuchiloglanis myzostoma,1,1,1,99.34920803,25.55181264,VU
Pareuchiloglanis myzostoma,1,1,1,99.35146195,25.90547448,VU
Pareuchiloglanis myzostoma,1,1,1,99.35229794,25.56203377,VU
Pareuchiloglanis myzostoma,1,1,1,99.35408555,26.0140315,VU
Pareuchiloglanis myzostoma,1,1,1,99.35576244,25.61873421,VU
Pareuchiloglanis myzostoma,1,1,1,99.35633198,25.76149801,VU
Pareuchiloglanis myzostoma,1,1,1,99.35942188,25.78221262,VU
Pareuchiloglanis myzostoma,1,1,1,99.3603973,25.62523502,VU
Pareuchiloglanis myzostoma,1,1,1,99.36198197,26.03655273,VU
Pareuchiloglanis myzostoma,1,1,1,99.36234013,25.74681009,VU
Pareuchiloglanis myzostoma,1,1,1,99.36302677,25.80289223,VU
Pareuchiloglanis myzostoma,1,1,1,99.36560169,25.77278329,VU
Pareuchiloglanis myzostoma,1,1,1,99.36766163,25.83565149,VU
Pareuchiloglanis myzostoma,1,1,1,99.36809078,25.88703847,VU
Pareuchiloglanis myzostoma,1,1,1,99.36937824,25.85727999,VU
Pareuchiloglanis myzostoma,1,1,1,99.37172695,25.63250933,VU
Pareuchiloglanis myzostoma,1,1,1,99.37555805,25.73598625,VU
Pareuchiloglanis myzostoma,1,1,1,99.38133999,25.63467605,VU
Pareuchiloglanis myzostoma,1,1,1,99.38326739,26.30923986,VU
Pareuchiloglanis myzostoma,1,1,1,99.38326739,26.36277766,VU
Pareuchiloglanis myzostoma,1,1,1,99.38460155,25.63993794,VU
Pareuchiloglanis myzostoma,1,1,1,99.38670062,26.34093477,VU
Pareuchiloglanis myzostoma,1,1,1,99.3880745,26.03871207,VU
Pareuchiloglanis myzostoma,1,1,1,99.39047717,26.24274472,VU
Pareuchiloglanis myzostoma,1,1,1,99.39082049,26.2683006,VU
Pareuchiloglanis myzostoma,1,1,1,99.39264882,26.37928714,VU
Pareuchiloglanis myzostoma,1,1,1,99.39289585,25.72237774,VU
Pareuchiloglanis myzostoma,1,1,1,99.39464374,25.64979047,VU
Pareuchiloglanis myzostoma,1,1,1,99.39498707,25.67392829,VU
